Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
11-Jan-21,11-01-2021,Confirmed,12481,3,121,5,45,213,47,853,2,0,306,35,615,244,69,113,144,496,3110,3,0,485,2438,33,20,1,9,244,22,192,429,1,682,224,0,509,156,612,0
11-Jan-21,11-01-2021,Recovered,18578,9,213,8,64,378,29,1255,0,0,407,66,746,201,164,355,229,797,3922,17,0,650,4286,46,24,2,16,228,34,265,568,30,869,461,7,770,523,939,0
11-Jan-21,11-01-2021,Deceased,166,0,2,0,3,5,0,15,0,0,13,2,3,6,2,1,1,4,20,0,0,7,40,0,0,0,0,1,0,2,2,0,6,1,0,9,5,16,0
12-Jan-21,12-01-2021,Confirmed,15903,3,197,5,55,344,36,729,0,0,386,92,602,192,75,113,127,751,5507,13,0,471,2936,32,20,6,10,225,18,254,293,7,671,301,2,495,184,751,0
12-Jan-21,12-01-2021,Recovered,17762,2,234,7,56,214,24,1207,0,0,545,94,855,290,174,198,153,1181,4270,15,0,615,3282,28,19,5,12,181,28,315,675,16,827,293,3,789,276,879,0
12-Jan-21,12-01-2021,Deceased,200,0,2,0,0,4,1,12,0,0,16,0,3,8,0,1,0,5,25,1,0,8,50,0,0,0,0,2,1,9,3,0,8,2,0,10,11,18,0
13-Jan-21,13-01-2021,Confirmed,17015,3,203,1,53,294,37,671,1,0,357,96,583,225,93,121,152,746,6004,5,0,456,3556,44,18,4,6,210,29,258,373,8,673,331,6,466,209,723,0
13-Jan-21,13-01-2021,Recovered,17797,5,231,4,40,391,14,930,1,0,534,78,792,250,71,174,152,765,5158,49,0,655,3009,56,9,1,7,170,44,222,790,10,821,394,8,879,289,794,0
13-Jan-21,13-01-2021,Deceased,201,0,1,0,1,2,1,10,0,0,11,1,4,2,2,0,0,3,26,0,0,6,70,0,1,0,2,1,0,7,3,0,6,3,1,15,4,18,0
14-Jan-21,14-01-2021,Confirmed,15677,7,179,15,19,314,23,607,2,0,340,103,570,187,62,79,144,408,5490,7,0,420,3579,18,18,7,32,222,43,213,281,7,665,276,5,501,154,680,0
14-Jan-21,14-01-2021,Recovered,15943,0,219,5,31,238,41,970,0,0,390,67,737,329,81,237,173,564,4337,29,0,598,3309,41,17,5,11,210,22,253,384,155,826,238,6,539,187,694,0
14-Jan-21,14-01-2021,Deceased,189,0,4,0,0,2,1,10,0,0,4,2,3,6,0,3,0,3,19,0,0,8,70,0,0,0,0,1,1,10,2,1,4,1,0,14,3,17,0
15-Jan-21,15-01-2021,Confirmed,15155,3,94,4,15,346,26,521,2,0,295,80,535,161,51,144,96,708,5624,2,0,429,3145,24,4,0,4,186,28,241,310,13,621,202,5,472,141,623,0
15-Jan-21,15-01-2021,Recovered,16809,4,232,8,42,371,33,1009,0,0,427,61,738,236,95,179,133,643,4603,12,0,574,3500,34,4,7,22,256,32,257,377,12,805,253,4,956,234,656,0
15-Jan-21,15-01-2021,Deceased,176,0,1,0,1,2,0,7,0,0,10,1,3,7,0,5,1,3,23,0,0,6,45,0,0,0,2,2,0,12,0,0,5,2,1,15,6,16,0
16-Jan-21,16-01-2021,Confirmed,15050,3,114,6,32,239,39,566,0,0,299,83,505,167,71,109,119,584,5960,1,0,365,2910,24,2,4,15,178,16,175,238,5,610,249,4,523,226,609,0
16-Jan-21,16-01-2021,Recovered,17202,0,326,8,61,328,67,615,0,0,397,69,764,218,83,256,158,676,5011,12,0,793,3039,79,15,16,2,230,22,322,558,10,775,417,7,930,272,666,0
16-Jan-21,16-01-2021,Deceased,181,0,0,0,4,4,0,7,0,0,6,3,3,4,1,1,1,4,27,0,0,5,52,1,0,0,0,1,2,14,2,0,6,1,1,12,4,15,0
17-Jan-21,17-01-2021,Confirmed,13962,1,161,3,22,211,34,323,1,0,246,60,518,178,70,126,87,745,5005,7,0,355,3081,21,12,8,4,183,35,239,261,9,589,299,0,391,112,565,0
17-Jan-21,17-01-2021,Recovered,14513,1,251,7,30,383,43,351,0,0,385,59,704,211,126,182,111,855,4408,9,0,478,2342,58,12,7,4,228,37,195,496,6,770,379,0,666,98,621,0
17-Jan-21,17-01-2021,Deceased,145,0,1,0,3,4,0,7,0,0,8,0,2,2,2,0,0,4,21,0,0,2,50,0,0,0,0,1,0,5,1,0,7,2,0,6,5,12,0
18-Jan-21,18-01-2021,Confirmed,9987,5,81,1,33,144,27,471,0,0,161,53,495,119,35,82,100,435,3346,1,14,304,1924,11,2,1,3,134,23,124,213,0,551,206,3,376,120,389,0
18-Jan-21,18-01-2021,Recovered,17127,1,263,2,139,344,53,1301,2,0,362,66,700,280,103,194,131,973,3921,11,0,540,3854,58,2,5,4,255,20,278,626,9,758,346,5,622,330,569,0
18-Jan-21,18-01-2021,Deceased,137,0,1,0,2,3,0,7,0,0,8,0,2,4,1,1,4,9,17,0,0,3,35,0,0,0,0,1,1,5,3,0,8,2,0,4,6,10,0
19-Jan-21,19-01-2021,Confirmed,13787,1,179,3,23,189,31,383,0,0,231,112,485,153,41,113,101,645,6186,5,7,304,2294,33,3,6,5,122,37,208,209,14,543,256,3,334,116,412,0
19-Jan-21,19-01-2021,Recovered,17229,0,231,8,106,595,49,436,1,0,222,115,709,241,81,120,141,807,4296,6,0,725,4516,93,18,11,7,250,26,247,537,9,772,298,3,789,251,513,0
19-Jan-21,19-01-2021,Deceased,162,0,1,0,0,1,0,10,0,0,10,0,2,4,0,1,3,6,26,1,0,7,50,1,0,0,0,1,0,7,2,1,9,2,0,4,2,11,0
20-Jan-21,20-01-2021,Confirmed,15279,2,173,0,32,209,28,594,2,0,228,87,490,105,63,109,125,501,6815,6,9,280,3015,19,7,5,1,157,31,199,213,5,549,267,1,390,153,409,0
20-Jan-21,20-01-2021,Recovered,20071,3,196,6,98,257,42,718,0,0,405,84,707,204,72,113,170,665,7364,9,0,997,4589,10,7,17,7,270,32,202,438,1,713,351,2,682,131,509,0
20-Jan-21,20-01-2021,Deceased,152,0,0,0,2,3,0,10,0,0,10,0,2,4,0,0,0,4,18,0,0,7,59,0,0,0,0,0,0,4,2,0,9,2,0,7,3,6,0
21-Jan-21,21-01-2021,Confirmed,14495,0,139,1,21,168,16,560,0,0,227,55,471,133,39,117,67,674,6334,5,18,301,2886,19,4,12,3,143,35,180,265,5,596,226,2,195,162,416,0
21-Jan-21,21-01-2021,Recovered,17734,4,254,9,116,315,40,711,1,0,246,54,727,185,55,104,136,815,6229,8,0,704,3980,43,6,6,2,224,32,227,406,17,705,224,4,345,283,517,0
21-Jan-21,21-01-2021,Deceased,161,0,0,0,0,4,1,8,0,0,8,1,1,3,3,1,1,2,21,0,0,6,52,0,2,0,0,1,0,15,2,0,9,1,0,6,4,9,0
22-Jan-21,22-01-2021,Confirmed,14323,1,137,1,17,168,25,440,1,0,266,70,451,120,41,88,75,324,6753,0,2,347,2779,15,2,3,2,154,22,206,201,1,574,214,4,303,110,406,0
22-Jan-21,22-01-2021,Recovered,17166,3,167,2,103,458,33,763,1,0,319,80,700,209,81,97,127,890,6108,5,0,463,3419,36,3,8,5,212,27,217,416,9,689,351,5,484,183,493,0
22-Jan-21,22-01-2021,Deceased,153,0,4,0,0,4,1,8,0,0,7,1,2,5,0,4,2,3,19,0,0,4,50,2,0,0,0,0,0,8,0,0,8,2,0,8,3,8,0
